Skill,Skill Code,Description,Guidance Notes,Category,Sub-category,Levels,Assignee,Status,Label
46 - Information systems coordination,ISCO,Coordinating information and technology strategies where the adoption of a common approach would benefit the organisation.,"This skill is typically applied within a large organisation in which information and technology strategy function is devolved to autonomous units, or within a collaborative enterprise of otherwise independent organisations. 
Examples where a common approach would benefit the organisation include — but are not limited to — shared services, service integration and management, sourcing, supplier management, cloud strategy, enterprise architecture, security.",Strategy and architecture,Sales and marketing,"""6 - Initiate, influence"",""7 - Set strategy, inspire, mobilise""",,,
47 - Innovation,INOV,"Identifying, prioritising, incubating and exploiting opportunities provided by information, communication and digital technologies.","This skill focuses on a systematic, organisational approach to innovation. It is not describing personal behaviours, such as creativity.
Activities may include — but are not limited to:
- developing and implementing processes, tools and infrastructures to support innovation
- implementing innovation practices to support iterative/agile working
- facilitating internal and external communities, employees, commercial partners, customers, users and other stakeholders in the innovation process
- providing a framework for governance, monitoring and reporting on the innovation process.
",Delivery and operation,Sales and marketing,"""5 - Ensure, advise"",""6 - Initiate, influence"",""7 - Set strategy, inspire, mobilise""",,,
48 - Investment appraisal,INVA,Assessing the attractiveness of possible investments or projects.,"Activities may include — but are not limited to:
- selecting and using appropriate techniques to compare financial investments and returns
- using recognised investment appraisal techniques to compare investment and returns include payback period, accounting rate of return, discounted cash flow (net present value and internal rate of return)
- collecting data using appropriate top-down or bottom-up approaches
- including other factors into the appraisal approach — such as legal considerations, environmental or social impact, operational benefits, risk
- developing scoring methods to allow for subjective benefits or dis-benefits and to aggregate the results of multiple appraisal methods to help compare options
- documenting and presenting the results of investment appraisals
- establishing investment appraisal as a tool for selecting projects/initiatives for further investigation.
- identifying possible sources of funding and the impact on the investment appraisal.
",Delivery and operation,Sales and marketing,"4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
49 - IT infrastructure,ITOP,"Deploying, configuring and operating IT Infrastructure.","IT infrastructure components include, but are not limited to, physical devices, virtual resources, infrastructure-related software, middleware, network services and data storage. Infrastructure components may be on-premises, outsourced, or provisioned as cloud services.
Activities may include — but are not limited to:
- preparing for new or changed services to meet defined needs of organisational users or providers
- maintaining and enhancing the IT infrastructure and infrastructure components, including task automation via tools and coding
- managing and applying software updates
- building and managing systems and components in virtualised and cloud computing environments
- monitoring the performance of systems and services related to their contribution to organisation performance, security and sustainability.
",Delivery and operation,Sales and marketing,"1 - Follow,2 - Assist,3 - Apply,4 - Enable,""5 - Ensure, advise""",,,
50 - Knowledge management,KNOW,Managing vital knowledge to create value for the organisation.,"Knowledge management aims to improve performance, support decision-making and mitigate risks. 
Activities may include — but are not limited to:
- systematically capturing, sharing, developing and exploiting the collective knowledge of the organisation
- tailoring knowledge management approaches
- developing a supportive and collaborative knowledge sharing culture to drive the successful adoption of technology solutions for knowledge management
- providing access to informal, tacit knowledge as well as formal, documented, explicit knowledge
- facilitating internal and external collaboration and communications
- establishing and supporting communities of practice
- capturing, organising and developing information, knowledge and stories from employees, customers and external partners
- external benchmarking.
",Delivery and operation,Sales and marketing,"2 - Assist,3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence"",""7 - Set strategy, inspire, mobilise""",,,
51 - Learning and development management,ETMG,"Delivering management, advisory and administrative services to support the development of knowledge, skills and competencies.","Activities may include — but are not limited to:
- developing the full range of professional, business or technical capabilities required by the organisation
- developing learning and development strategies and policies
- identifying appropriate learning and development solutions, accreditations and qualifications
- selecting, tailoring and adopting skills and competency frameworks
- selecting and operating learning management systems
- administering, documenting, tracking, reporting on learning and development activities.
",Delivery and operation,Sales and marketing,"3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence"",""7 - Set strategy, inspire, mobilise""",,,
52 - Learning delivery,ETDL,"Transferring knowledge, developing skills and changing behaviours using a range of techniques, resources and media.","Learning delivery uses a range of techniques, resources and media including — but not limited to — face-to-face learning, e-learning, on-line virtual environments, field-work and projects, self-assessment, peer-assisted learning, simulation. 
Typically a blend of techniques will be used which can incorporate both formal and informal learning activities.
Learning delivery includes promoting professional attitudes in order to facilitate learning and development.",Delivery and operation,Sales and marketing,"2 - Assist,3 - Apply,4 - Enable,""5 - Ensure, advise""",,,
53 - Learning design and development,TMCR,"Designing and developing resources to transfer knowledge, develop skills and change behaviours.","Includes instructional design, content development, configuration and testing of learning environments, and use of appropriate current technologies such as audio, video, simulation and assessment.
Scope includes learning and development activities for the workplace, for all levels of education and blended models such as apprenticeships and work placements.
Activities may include — but are not limited to:
- specifying, designing, creating, packaging and maintaining materials and resources
- assimilating information from existing sources
- selecting and presenting material in a form suitable to the intended purpose and audience
- securing third-party accreditation
- creating simulated data, replicating external systems, interfaces and assessment systems for simulated learning environments.
",Delivery and operation,Sales and marketing,"3 - Apply,4 - Enable,""5 - Ensure, advise""",,,
54 - Machine learning,MLNG,Developing systems that learn through experience and by the use of data.,"Activities may include — but are not limited to:
- evaluating trained models for their performance, robustness and bias
- selecting and using metrics to examine outcomes
- diagnosing and resolving issues before and after deployment
- anticipating the organisational implications of machine learning models regarding ethics, bias, privacy, and data protection
- establishing traceability for the outcomes produced by machine learning systems.
",Delivery and operation,Sales and marketing,"2 - Assist,3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
55 - Marketing,MKTG,"Researching, analysing and stimulating potential or existing markets for products and services.","Activities may include — but are not limited to:
- supporting business development
- generating a satisfactory flow of customer enquiries
- developing and managing marketing strategies, campaigns and day-to-day marketing activity delivered through appropriate channels
- market segmentation
- approaches for developing and supporting customer loyalty.
",Delivery and operation,Sales and marketing,"2 - Assist,3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
56 - Measurement,MEAS,Developing and operating a measurement capability to support agreed organisational information needs.,"Measurement can be applied to organisations, projects, processes, and work products.
Activities may include — but are not limited to:
- planning, implementation, and control of activities to measure attributes of processes, products, and services
- using measures to assess performance, progress, and provide indications and insights to actual or potential problems, issues, and risks
- identifying requirements for measurement
- implementing measurement to support iterative/agile working practices
- selecting measures and measurement scales, setting target values and thresholds
- establishing data collection and analysis methods — including automation.
",Delivery and operation,People management,"3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
57 - Methods and tools,METL,Ensuring methods and tools are adopted and used effectively throughout the organisation.,"There is a wide range of methods and tools supporting areas such as — but not limited to — planning, development, testing, operation, management and maintenance of systems.
Activities may include — but are not limited to:
- assessing, selecting and implementing methods and tools
- measuring, tailoring, improving and automating the use of methods and tools.
",Delivery and operation,People management,"3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
58 - Network design,NTDS,"Designing communication networks to support strategic and operational requirements and producing network strategies, architectures, policies and related documentation.","Network design covers all aspects of the communications infrastructure including — but not limited to — networks that are wired or wireless, digital or analogue, virtual or physical, local area, wide area, mobile/cellular and any other defined protocols and scales of operation.",Delivery and operation,Change implementation,"3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
59 - Network support,NTAS,Providing maintenance and support services for communications networks.,"Activities may include — but are not limited to:
- monitoring network performance
- investigating and resolving problems
- devising work-arounds and correcting faults
- making general or site-specific modifications
- operational configuration of network components
- testing networks, both routinely and after modification or fault/fix
- adhering to established safety, security and quality standards
- providing information, advice or training to users about networks functionality.
Support may be provided direct to users of the network or to service delivery functions.",Delivery and operation,Change implementation,"2 - Assist,3 - Apply,4 - Enable,""5 - Ensure, advise""",,,
60 - Numerical analysis,NUAN,"Creating, analysing, implementing, testing and improving algorithms for numerically solving mathematical problems.","Numerical analysis is the area of mathematics and computer science that creates, analyses, and implements algorithms for numerically solving mathematical problems. Numerical analysis is required for applications including — but not limited to:
- simulations of physical systems
- machine learning
- data analytics 
Numerical analysis is concerned with:
- floating-point arithmetic and the resulting accumulation of rounding errors (integer arithmetic which has different considerations)
- consideration of the numerical stability, condition numbers, accuracy, computational complexity and usability of algorithms that solve mathematical problems.
",Delivery and operation,Change implementation,"4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence"",""7 - Set strategy, inspire, mobilise""",,,
61 - Organisation design and implementation,ORDI,"Planning, designing and implementing an integrated organisation structure and culture.","Activities may include — but are not limited to:
- facilitating changes needed to adapt to changes in technologies, society, new operating models and business processes
- identifying key attributes of the required culture and how these can be implemented and reinforced to bring about improved organisational performance.
The scope of organisation design can be wide — including the workplace environment, location strategy and number of locations required, role profiles, performance measurements, competencies and skills.",Delivery and operation,Systems development,"4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence"",""7 - Set strategy, inspire, mobilise""",,,
62 - Organisational capability development,OCDV,"Providing leadership, advice and implementation support to assess organisational capabilities and to identify, prioritise and implement improvements.","Activities may include — but are not limited to:
- selecting, adopting and integrating appropriate industry frameworks and models to guide improvements
- using capability maturity assessments, metrics, process definition, process management
- building repeatable and reliable capabilities through a process of trial, feedback, learning and continual evolution
- developing appropriate techniques, tools and enhanced skills
- designing and delivering integrated people, process and technology solutions to deliver improved organisational performance in line with strategic plans and objectives
- identifying organisational priorities for enhancing performance, satisfying new business opportunities or responding to external drivers.
The scope of improvement is typically organisation-wide but may also be highly focused on areas such as — but not limited to — business agility, software development, systems development, project delivery, service integration and management, service delivery, information and cyber-security.",Delivery and operation,Systems development,"""5 - Ensure, advise"",""6 - Initiate, influence"",""7 - Set strategy, inspire, mobilise""",,,
63 - Organisational change management,CIPM,"Planning, designing and implementing activities to transition the organisation and people to the required future state.","Activities may include — but are not limited to:
- developing a business change implementation plan to identify required changes to processes, procedures, systems, structures, ways of working
- using a structured process and set of tools for leading the people side of change 
- implementing organisational change management practices to support iterative/agile working
- assessing change readiness and capacity including — but not limited to — planning around key business cycles, selecting appropriate customers for migration
- assessing and developing change management capabilities 
- engagement and tailored communication with stakeholders and everyone impacted by the change
- monitoring the impact of the change management plan and sustaining and embedding change
- coaching change sponsors.
",Delivery and operation,Systems development,"3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
64 - Organisational facilitation,OFCL,Supporting workgroups to implement principles and practices for effective teamwork across organisational boundaries and professional specialisms.,"Activities may include — but are not limited to:
- developing and implementing team principles and practices for decision-making, prioritisation, problem-solving
- helping teams adopt new/contemporary working practices and behaviours including — but not limited to — specific agile methodologies, processes, tools and ceremonies
- helping teams plan and prioritise their workload based on their capacity and track record of working
- removing barriers or impediments to teams achieving their mission and objectives
- providing guidance and suggestions to support team members in adopting self-management and cross-functional working
- reviewing team effectiveness — identifying what went well, what could be improved, and what might be added or removed from their working practices.
Workgroups may be focused on project, product or process management or may be focused on specific problems or deliverables.
Workshop facilitation tools and techniques form part of applying this skill — but are not sufficient. This skill describes a broader set of responsibilities.",Delivery and operation,Systems development,"4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
65 - Penetration testing,PENT,Testing the effectiveness of security controls by emulating the tools and techniques of likely attackers.,"Penetration testing may be a stand-alone activity or an aspect of acceptance testing prior to an approval to operate.
Activities include — but are not limited to:
- ethical hacking — using the same tools and techniques as an adversary to safely exploit security weaknesses
- demonstrating how an adversary can subvert security goals or achieve specific adversarial objectives
- evaluating the effectiveness of current/planned defences or mitigation controls
- assuring the security of networks, systems, and applications
- identifying insights into the business risks of various vulnerabilities
- testing network, infrastructure, web and mobile applications for weaknesses
- checking patch levels and configurations
- social engineering.
",Delivery and operation,Systems development,"3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
66 - Performance management,PEMT,Improving organisational performance by developing the performance of individuals and workgroups to meet agreed objectives with measurable results.,"The term workgroup is used to be inclusive of different organisational structures. A workgroup is a collection of people working together on interdependent tasks to achieve shared objectives. This includes — but is not limited to — permanent/business-as-usual teams, cross-functional teams, squads or workgroups formed to deliver a specific outcome.
Activities may include — but are not limited to:
- setting workgroup objectives aligned to organisational drivers
- supporting individual growth to achieve objectives
- forming effective teams
- developing effective working relations within the workgroup
- developing effective working relations with other workgroups, partners and individuals who they collaborate with to achieve workgroup objectives.
",Delivery and operation,Systems development,"4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
67 - Personal data protection,PEDP,Implementing and operating a framework of controls and management strategies to promote compliance with personal data legislation.,"Includes legislation regulating the holding, use and disclosure of personal data.
Activities may include — but are not limited to:
- providing expert advice on policies, procedures and governance
- designing privacy-friendly products, services and systems that respect customer privacy and embed data protection
- performing impact assessments, identify risks whilst enabling prudent use of data and addressing issues with products and services
- responding to incidents
- following legislative developments
- creating privacy risk models and frameworks
- working with subject matter experts in areas such as — but not limited to — legal, public relations, learning and development, procurement, security, data management, architecture.
",Delivery and operation,Systems development,"""5 - Ensure, advise"",""6 - Initiate, influence""",,,
68 - Portfolio management,POMG,"Developing and applying a management framework to define and deliver a portfolio of programmes, projects and/or ongoing services.","Activities include — but are not limited to:
- alignment of investment with specific business strategies and objectives
- a strategic investment appraisal and decision-making process
- assessment of cost, risk, inter-dependencies, and impact on existing business activities
- identifying issues with portfolio structure, cost, risk, inter-dependencies, impact on current business activities and the strategic benefits to be realised
- implementing portfolio management practices that support iterative/agile working
- measurement and objective evaluation of potential changes and the benefits to be realised
- prioritisation of resource utilisation and changes to be implemented
- regular review of portfolios
- management of the service pipeline (proposed or in development), service catalogue (live or available for deployment) and retired services.
",Delivery and operation,Systems development,"""5 - Ensure, advise"",""6 - Initiate, influence"",""7 - Set strategy, inspire, mobilise""",,,
"69 - ""Portfolio, programme and project support""",PROF,"Providing support and guidance on portfolio, programme and project management processes, procedures, tools and techniques.","Activities may include — but are not limited to:
- defining portfolios, programmes, and projects
- cultivating and applying new or changed working practices across a portfolio
- managing the rate at which new projects are started to fit the available capacity
- advising on the development, production and maintenance of business cases time, resource, cost and exception plans
- advising on the use of software tools
- tracking and reporting progress and performance 
- facilitating portfolio/programme/project meetings and workshops
- advising and sharing knowledge on standards and how to comply.
",Delivery and operation,Systems development,"2 - Assist,3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
70 - Problem management,PBMG,Managing the life cycle of all problems that have occurred or could occur in delivering a service.,"The primary objectives of problem management are to:
- proactively prevent problems and resulting incidents from happening
- reactively resolve problems that have already happened
- eliminate recurring incidents
- minimise the impact of incidents that cannot be prevented.
Activities may include — but are not limited to:
- detecting and logging problems
- classifying and prioritising problems
- initiating actions to resolve problems
- investigating and diagnosing problems
- implementing remedies to prevent future incidents
- reporting on problems.
",Delivery and operation,Systems development,"3 - Apply,4 - Enable,""5 - Ensure, advise""",,,
71 - Product management,PROD,"Managing and developing products or services through their full life cycle from inception, growth, maturity, decline to retirement.","Product management can be applied to either internal or external products.
Externally — the focus will usually be on measures such as, but not limited, to customer needs, revenue and profit.
Internally — the focus will usually be on measures such as, but not limited to, user needs and business value.
A product life cycle typically moves from inception, growth, maturity, decline to retirement. The product development life cycle model used will be based on the context of the work and may be selected from predictive (plan-driven) or adaptive (iterative/agile) approaches.",Delivery and operation,Systems development,"3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
72 - Professional development,PDSV,Facilitating the professional development of individuals in line with their career goals and organisational requirements.,"Activities may include — but are not limited to:
- negotiating, reviewing, monitoring and validating each individual's professional development plans
- providing professional development advice and support for individuals
- identifying appropriate learning and development or career-enhancing activities
- liaising with internal and external providers of learning and development
- adopting a suitable framework for skills, knowledge and competencies such as SFIA
- adopting or defining professional career pathways
- creating accreditation and qualification approaches or adopting industry frameworks
- evaluating the benefits of continual professional development activities.
",Delivery and operation,Systems development,"4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
73 - Programme management,PGMG,"Identifying, planning and coordinating a set of related projects and activities in support of specific business strategies and objectives.","Activities may include — but are not limited to:
- managing interdependencies in support of specific business strategies and objectives
- maintaining a strategic view over the set of projects
- providing the framework for implementing business initiatives, or large-scale change
- implementing programme management practices to support iterative/agile working
- conceiving, maintaining and communicating a vision of the programme's outcomes and associated benefits
- agreeing business requirements, and translation of requirements into operational plans
- determining, monitoring and reviewing programme scope, costs, schedule and expected benefits
- scheduling programme resources, inter-dependencies and programme risk.
",Delivery and operation,Systems development,"""6 - Initiate, influence"",""7 - Set strategy, inspire, mobilise""",,,
74 - Programming/software development,PROG,Developing software components to deliver value to stakeholders.,"Activities may include — but are not limited to:
- identifying, creating and applying software development and security standards and processes
- planning and designing software components
- estimating time and effort required for software development
- constructing, amending and verifying software components
- applying test-driven development and ensuring appropriate test coverage
- using peer review techniques — such as pair programming
- documenting software components
- understanding and obtaining agreement to the value of the software components to be developed
- selecting appropriate development methods and life cycles
- applying recovery techniques to ensure the software being developed is not lost 
- implementing appropriate change control to software development practices
- resolving operational problems with software and fixing bugs
Depending on requirements and the characteristics of the project or assigned work — software development methods and life cycles can be predictive (plan-driven) approaches or adaptive (iterative/agile) approaches.",Delivery and operation,Systems development,"2 - Assist,3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
75 - Project management,PRMG,"Delivering agreed outcomes from projects using appropriate management techniques, collaboration, leadership and governance.","This skill is applicable to all project management techniques and life cycles — which can be on a continuum from predictive (plan-driven) approaches to adaptive (iterative/agile) approaches.
Activities may include — but are not limited to:
- selecting techniques and life cycle models based on the context of the project 
- establishing team structures and a collaborative working environment
- communicating with stakeholders and maintaining awareness of business needs and priorities
- using visual techniques for project tracking and reporting 
- timeboxing and incremental deliveries 
- defining deliverables, milestones and dependencies
- applying change control and risk management processes
- acquiring the necessary resources and skills
- agreeing constraints of cost, timescales, quality and scope
- reviewing experiences and learning from current and previous projects
- ensuring that projects are formally closed and reviewed.
An understanding of project size and complexity is helpful when applying the project management skill. Typical factors that influence project complexity include the complexity of resourcing, scale of organisational impact, use of new technologies, number of interdependences, stability of requirements, business implications, and risks.",Delivery and operation,Systems development,"4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence"",""7 - Set strategy, inspire, mobilise""",,,
76 - Quality assurance,QUAS,"Assuring, through ongoing and periodic assessments and reviews, that the organisation’s quality objectives are being met.","Quality assurance provides confidence to internal and external stakeholders that quality requirements will be fulfilled.
Quality assurance may relate to any area where quality standards are applied including — but not limited to — products, data, services and business processes.
Quality assurance findings and reports may provide evidence and recommendations for quality improvement programmes. ",Delivery and operation,Systems development,"3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
77 - Quality management,QUMG,Defining and operating a management framework of processes and working practices to deliver the organisation's quality objectives.,"Activities may include — but are not limited to:
- establishing a quality management system and a quality culture
- applying techniques for the monitoring and improving the quality of any aspect of a function, processes, products, services or data
- providing advice on the application of appropriate quality management techniques
- achieving and maintaining compliance to, national and international standards and to internal policies.
Internal or external standards are typically related to areas such as — but not limited to — quality, service, sustainability and security.",Delivery and operation,Systems development,"3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence"",""7 - Set strategy, inspire, mobilise""",,,
78 - Radio frequency engineering,RFEN,"Designing, installing and maintaining radio frequency based devices and software.","Activities may include — but are not limited to:
- evaluating and selecting devices and software
- integrating radio frequency (RF) sub-systems into larger systems
- calibrating, tuning and maintaining devices and software
- receiving, transmitting and converting data between analogue and digital devices, in accordance with industry and regulatory standards
- developing, integrating and configuring antennas, readers and transmitters in hardware or software forms, including software-defined radio (SDR), radio frequency identification (RFID), near field communication (NFC), Bluetooth and Wi-Fi
- adhering to established safety, security and quality standards.
Applications of this skill include — but are not limited to:
- wireless local area networks
- wireless communication systems for voice, data and image — cellular radio systems, global positioning systems and military communications networks
- navigation and sensor systems.
",Delivery and operation,Computational science,"2 - Assist,3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
79 - Real-time/embedded systems development,RESD,Designing and developing reliable real-time software typically within embedded systems.,"Embedded systems provide a dedicated function within a more extensive mechanical or electronic system with real-time, safety, security, and reliability constraints. Typically, it involves interfacing with hardware, sensors, and actuators for monitoring and control in industrial, automotive, aerospace, medical or robotic equipment, including IoT (Internet of Things) devices and intelligent systems.
These systems typically perform critical functions and have demanding requirements including — but not limited to — integrity, reliability, safety, security or power consumption.
Activities may include — but are not limited to:
- defining non-functional system requirements such as performance, reliability, safety, and security, including requirements for power, cost, physical space or response time 
- building in fail-safe/secure characteristics for graceful degradation
- using specialist techniques to define systems and to assure essential attributes are achieved
- applying comprehensive verification, validation and testing methods and techniques
- using specialised tools such as in-circuit emulators, logic analysers and digital oscilloscopes.
",Delivery and operation,Security services,"2 - Assist,3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
80 - Release and deployment,RELM,"Applying the processes, systems and functions required to make new and changed services and features available for use.","Activities may include — but are not limited to:
- packaging and deploying software changes and updates for release into a live environment
- managing continuous delivery/deployment using automation tools for containerisation and orchestration
- using package management tools or application lifecycle management tools for software dependency, version and library control
- combining changes to form a release that delivers a new service or updates an existing service
- adhering to established safety, security and quality standards
- enabling the controlled and effective handover to operational management and the user community.
",Delivery and operation,Security services,"3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
81 - Requirements definition and management,REQM,Managing requirements through the entire delivery and operational life cycle.,"Requirements may be related to software, systems, data, processes, products or services.
Activities may include — but are not limited to:
- eliciting and analysing requirements — both functional and non-functional 
- ensuring that customer requirements and priorities are accurately reflected
- organising and prioritising requirements using techniques such as — but not limited to — product roadmaps, epics, user stories and backlogs
- specifying and validating requirements and constraints to a level that enables effective development and operations of new or changed software, systems, processes, products or services
- negotiating trade-offs that are acceptable to key stakeholders and within budgetary, technical, regulatory, and other constraints
- adopting and adapting requirements management life cycle models.
The requirements life cycle approach will be based on the context of the work and may be selected from predictive (plan-driven) or adaptive (iterative/agile) approaches.",Delivery and operation,Security services,"2 - Assist,3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
82 - Research,RSCH,"Systematically creating new knowledge by data gathering, innovation, experimentation, evaluation and dissemination.","Activities may include — but are not limited to:
- determining research goals and the methods by which the research will be conducted
- actively participating in a community of researchers
- communicating formally and informally through digital media, conferences, journals, books and seminars.
The Research skill defined in SFIA is used for creating new knowledge including — but not limited to — commercial research and development or academic institutions.
Because of its name, this skill can be confused with general search and investigation into a topic of interest. In most cases, general investigations are covered by responsibilities described by the SFIA generic attributes. Many of the SFIA professional skills also make reference to investigation or similar activity.",Delivery and operation,Security services,"2 - Assist,3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
83 - Resourcing,RESC,"Acquiring, deploying and onboarding resources.","Resources include — but are not limited to — salaried employees, temporary staff, consultants and contractors. Resourcing may be undertaken for departments, teams, projects, or individual roles.
Activities may include — but are not limited to:
- recruiting, selecting, deploying, onboarding and transitioning resources
- assessing candidates using methods such as — but not limited to — interviews, assessment centres, CV/resume review, tests, exercises
- ensuring compliance with relevant statutory or external regulations and codes of good practice
- measuring the effectiveness of resourcing approaches using methods such as — but not limited to — retention analysis, media and supplier assessment, customer satisfaction and validation of selection methods.
",Delivery and operation,Service management,"3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
84 - Risk management,BURM,Planning and implementing organisation-wide processes and procedures for the management of risk to the success or integrity of the enterprise.,"Risk management can be applied to many enterprise functions as well as technical and engineering specialisms — such as, but not limited to, information and technology systems, operations, environmental, information and cyber-security, safety, energy supply. Risk is also explicitly referenced in many SFIA skills. 
Activities may include — but are not limited to:
- identifying risks
- classifying and prioritising risks — their impact and probability, and mitigation actions
- planning, developing, and implementing organisational approaches to risk management to ensure the integrity of the business, its products and services, and the end-users
- communicating and reporting on risks and mitigation actions to key stakeholders.
",Delivery and operation,Service management,"3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence"",""7 - Set strategy, inspire, mobilise""",,,
85 - Safety assessment,SFAS,Assessing safety-related software and hardware systems to determine compliance with standards and required levels of safety integrity.,"Activities may include — but are not limited to:
- making professional judgements on software and hardware engineering approaches
- assessing the suitability of design, testing, and validation and verification methods
- identifying and evaluating risks and how they can be reduced
- establishing, maintaining and managing a safety assessment framework and practices
- using techniques such as failure modes effects analysis, hazard and operability studies, component failure impact analysis, fault tree analysis, event tree analysis and criticality analysis.
",Delivery and operation,Service management,"4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
86 - Safety engineering,SFEN,Applying appropriate methods to assure safety during all life cycle phases of safety-related systems developments.,"Safety-critical systems are those in which a system failure could harm human life, other living things, physical structures, or the environment. 
Activities may include — but are not limited to:
- safety hazard and risk analysis
- safety requirements specification
- safety-related systems architectural design
- formal method design
- safety validation and verification
- safety case preparation
- applying generic safety standards such as IEC 61508, IEC 61511 or industry-specific safety standards.
System safety is engineered and measured by safety levels based on hazard and risk analysis",Delivery and operation,Service management,"3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
87 - Sales support,SSUP,"Providing advice and support to the sales force, customers and sales partners.","Sales support can be delivered to a range of roles — such as but not limited to — the sales force, sales agents, reseller/distributor staff and existing or prospective customers.
This skill includes the provision of technical advice and assistance either in support of customer development or sales activity or in fulfilment of sales obligations.",Delivery and operation,Stakeholder management,"1 - Follow,2 - Assist,3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
88 - Scientific modelling,SCMO,Applying computer simulation and other forms of computation to solve real-world problems in scientific disciplines.,"Activities may include — but are not limited to:
- identifying relevant mathematical principles and scientific theory within a computational model
- creating, testing and tuning scientific models through the application of computing
- validating and interpreting computational models against the reality which the models attempt to represent.
",Delivery and operation,Stakeholder management,"4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence"",""7 - Set strategy, inspire, mobilise""",,,
89 - Security operations,SCAD,"Delivering management, technical and administrative services to implement security controls and security management strategies.","Activities may include — but are not limited to:
- providing advice and guidance on the implementation of security controls
- defining and reviewing access rights and privileges
- authorising and monitoring of access to IT facilities or infrastructure
- investigating unauthorised access
- routine vulnerability assessments
- monitoring violations of security policies
- ensuring compliance with relevant legislation
- monitoring and analysing relevant logs, alerts and events
- responding to incidents submitted via tickets or phone
- implementing standard security operating procedures
- maintaining security records and documentation
- administering cryptographic and certificate management activities.
",Delivery and operation,Stakeholder management,"1 - Follow,2 - Assist,3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
90 - Selling,SALE,"Finding prospective customers and working with them to identify needs, influence purchase decisions and enhance future business opportunities.","Activities may include — but are not limited to:
- identifying and qualifying sales prospects
- prospecting and outreach to potential customers using appropriate channels
- developing customer interest, building rapport and trust
- asking questions about goals and challenges and finding a solution
- preparing, executing and monitoring the sale of products or services into an external or internal market
- bid management, value analysis, negotiation, sales presentations, closing the sale, preparation of contracts.
",Delivery and operation,Stakeholder management,"3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
91 - Service acceptance,SEAC,Managing the process to obtain formal confirmation that service acceptance criteria have been met.,"Service acceptance criteria are used to ensure that a service meets the defined service requirements, including functionality, operational support, performance, safety, security and quality requirements. Acceptance criteria include both utility/functional and warranty/non-functional tests.
Activities may include — but are not limited to:
- engaging with a variety of stakeholders and delivery life-cycle activities such as — but not limited to — external service providers, technical design, software development and project management
- implementing service acceptance practices to support iterative/agile working
- ensuring the service provider is ready to operate the new service when it has been deployed.
",Delivery and operation,Strategy and planning,"4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
